AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,100106,แขวง เสาชิงช้า,Sao Chingcha,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.753,100.5
4,100105,แขวง ศาลเจ้าพ่อเสือ,San Chaopho Suea,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.754,100.497
4,100108,แขวง ตลาดยอด,Talat Yot,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.76,100.498
4,100103,แขวง วัดราชบพิธ,Wat Ratchabophit,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.75,100.499
4,100104,แขวง สำราญราษฎร์,Samran Rat,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.751,100.503
4,100109,แขวง ชนะสงคราม,Chana Songkhram,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.762,100.495
4,100204,แขวง สี่แยกมหานาค,Si Yaek Maha Nak,1002,เขต ดุสิต,Dusit,10,กรุงเทพมหานคร,Bangkok,13.758,100.517
4,100804,แขวง บ้านบาตร,,1008,เขต ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok,13.752,100.507
4,100110,แขวง บ้านพานถม,Ban Phan Thom,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.762,100.503
4,101303,แขวง ตลาดน้อย,,1013,เขต สัมพันธวงศ์,Samphanthawong,10,กรุงเทพมหานคร,Bangkok,13.734,100.513
4,100802,แขวง วัดเทพศิรินทร์,,1008,เขต ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok,13.749,100.512
4,100111,แขวง บางขุนพรหม,Bang Khun Phrom,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.765,100.505
4,100805,แขวง วัดโสมนัส,,1008,เขต ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok,13.759,100.511
4,101302,แขวง สัมพันธวงศ์,,1013,เขต สัมพันธวงศ์,Samphanthawong,10,กรุงเทพมหานคร,Bangkok,13.739,100.511
4,100107,แขวง บวรนิเวศ,Bowon Niwet,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.757,100.501
4,100405,แขวง สี่พระยา,,1004,เขต บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok,13.725,100.514
4,101301,แขวง จักรวรรดิ,,1013,เขต สัมพันธวงศ์,Samphanthawong,10,กรุงเทพมหานคร,Bangkok,13.741,100.504
4,100112,แขวง วัดสามพระยา,Wat Sam Phraya,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.768,100.499
4,100803,แขวง คลองมหานาค,,1008,เขต ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok,13.753,100.513
4,100404,แขวง บางรัก,,1004,เขต บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok,13.727,100.527
4,100801,แขวง ป้อมปราบ,,1008,เขต ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,กรุงเทพมหานคร,Bangkok,13.743,100.514
4,100401,แขวง มหาพฤฒาราม,,1004,เขต บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok,13.734,100.52
4,101502,แขวง หิรัญรูจี,,1015,เขต ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok,13.731,100.49
4,101801,แขวง สมเด็จเจ้าพระยา,,1018,เขต คลองสาน,Khlong San,10,กรุงเทพมหานคร,Bangkok,13.731,100.497
4,100102,แขวง วังบูรพาภิรมย์,Wang Burapha Phirom,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.744,100.499
4,101501,แขวง วัดกัลยาณ์,,1015,เขต ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok,13.737,100.493
4,100402,แขวง สีลม,,1004,เขต บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok,13.73,100.525
4,102210,แขวง คูหาสวรรค์,,1022,เขต ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,13.727,100.457
4,101601,แขวง วัดอรุณ,,1016,เขต บางกอกใหญ่,Bangkok Yai,10,กรุงเทพมหานคร,Bangkok,13.743,100.486
4,101802,แขวง คลองสาน,,1018,เขต คลองสาน,Khlong San,10,กรุงเทพมหานคร,Bangkok,13.735,100.504
4,103704,แขวง มักกะสัน,,1037,เขต ราชเทวี,Rat Thewi,10,กรุงเทพมหานคร,Bangkok,13.752,100.528
4,102206,แขวง บางจาก,,1022,เขต ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,13.727,100.45
4,101901,แขวง คลองชักพระ,,1019,เขต ตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,Bangkok,13.76,100.456
4,100202,แขวง วชิรพยาบาล,Wachira Phayaban,1002,เขต ดุสิต,Dusit,10,กรุงเทพมหานคร,Bangkok,13.778,100.505
4,100701,แขวง รองเมือง,,1007,เขต ปทุมวัน,Pathum Wan,10,กรุงเทพมหานคร,Bangkok,13.744,100.52
4,103702,แขวง ถนนพญาไท,,1037,เขต ราชเทวี,Rat Thewi,10,กรุงเทพมหานคร,Bangkok,13.757,100.538
4,101503,แขวง บางยี่เรือ,,1015,เขต ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok,13.72,100.482
4,100702,แขวง วังใหม่,,1007,เขต ปทุมวัน,Pathum Wan,10,กรุงเทพมหานคร,Bangkok,13.742,100.526
4,102004,แขวง ศิริราช,,1020,เขต บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok,13.759,100.481
4,103102,แขวง วัดพระยาไกร,,1031,เขต บางคอแหลม,Bang Kho Laem,10,กรุงเทพมหานคร,Bangkok,13.706,100.508
4,100403,แขวง สุริยวงศ์,,1004,เขต บางรัก,Bang Rak,10,กรุงเทพมหานคร,Bangkok,13.724,100.53
4,100101,แขวง พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,1001,เขต พระนคร,Phra Nakhon,10,กรุงเทพมหานคร,Bangkok,13.751,100.492
4,101505,แขวง ตลาดพลู,,1015,เขต ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok,13.715,100.473
4,102006,แขวง บางขุนนนท์,,1020,เขต บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok,13.774,100.466
4,102209,แขวง ปากคลองภาษีเจริญ,,1022,เขต ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,13.722,100.464
